account_id,customer_id,account_number,account_type,currency,balance,open_date,status
1,1,10433218196001338908386,CHECKING,XOF,7416797.25,2020-04-28,ACTIVE
2,1,79402654235116155940781,CHECKING,XOF,1029439.29,2023-01-06,ACTIVE
3,1,18495931034131647525534,CHECKING,XOF,5906972.66,2017-10-15,ACTIVE
4,2,92832764835030564139537,CHECKING,XOF,5056026.1,2023-04-22,ACTIVE
5,3,72423884969653287101226,SAVINGS,XOF,7014743.11,2017-08-27,ACTIVE
6,4,66978480184514627048281,CHECKING,XOF,8095257.41,2021-08-26,ACTIVE
7,4,89325288095701543039117,SAVINGS,XOF,6982903.25,2017-10-02,ACTIVE
8,5,82278248963834657871331,CHECKING,XOF,7636123.82,2022-04-29,ACTIVE
9,6,9839301031051834738299,CHECKING,XOF,8475706.19,2024-08-13,ACTIVE
10,6,37631165667010651333872,SAVINGS,XOF,7298669.21,2023-10-02,ACTIVE
11,7,24731781080132677360260,CHECKING,XOF,2935316.92,2023-03-20,ACTIVE
12,7,47468723430980500978820,SAVINGS,XOF,3619542.09,2025-03-19,ACTIVE
13,8,12191361939909169985435,CHECKING,XOF,2282843.27,2020-08-20,ACTIVE
14,9,46247510799118384251354,SAVINGS,XOF,8665504.25,2019-04-05,ACTIVE
15,10,78498084124118244935348,SAVINGS,XOF,3651497.63,2024-11-19,ACTIVE
16,10,40164005242786801128059,CHECKING,XOF,2673443.33,2025-12-22,BLOCKED
17,11,26204505331586923226025,CHECKING,XOF,6351607.99,2023-07-31,ACTIVE
18,11,34216073375433036541458,CHECKING,XOF,4625290.82,2023-05-17,ACTIVE
19,11,85014294019655698169340,BUSINESS,XOF,6883178.77,2023-12-29,ACTIVE
20,12,8835615951484656482366,SAVINGS,XOF,7761119.12,2019-07-15,ACTIVE
21,12,99468044369957773872148,CHECKING,XOF,3157953.22,2022-04-11,ACTIVE
22,13,13433200379176936763201,BUSINESS,XOF,5673964.61,2023-10-22,ACTIVE
23,14,32870831727889579868727,SAVINGS,XOF,3959340.85,2024-03-25,ACTIVE
24,15,43487347143455812236231,CHECKING,XOF,1400605.04,2023-08-19,ACTIVE
25,15,65876036690967054668893,CHECKING,XOF,7471403.05,2024-11-17,ACTIVE
26,16,34670656272980699016272,CHECKING,XOF,2197110.99,2017-06-06,CLOSED
27,16,46537556464170805310033,CHECKING,XOF,913639.57,2016-12-02,ACTIVE
28,16,92327193745299124190496,CHECKING,XOF,6276323.19,2023-04-28,ACTIVE
29,17,31931491905865185067165,CHECKING,XOF,3850749.28,2024-05-24,ACTIVE
30,17,26284987769453147379965,CHECKING,XOF,2517884.13,2017-01-23,ACTIVE
31,18,75273545494808313678377,SAVINGS,XOF,1149944.67,2024-03-13,ACTIVE
32,19,1436349578856855744431,SAVINGS,XOF,3405053.85,2019-11-07,ACTIVE
33,19,51823374989413435240824,CHECKING,XOF,37436.93,2017-05-07,ACTIVE
34,20,8427109477752047116719,CHECKING,XOF,5008358.2,2017-06-27,ACTIVE
35,20,22941318699938677496499,BUSINESS,XOF,8705833.11,2017-08-07,ACTIVE
36,20,91334123281206797403447,SAVINGS,XOF,6091657.26,2017-10-14,ACTIVE
37,21,34936183242102499471746,CHECKING,XOF,7787371.65,2021-03-16,ACTIVE
38,22,88771906594013990490278,CHECKING,XOF,4888614.05,2024-02-05,ACTIVE
39,23,42967175655125674680715,SAVINGS,XOF,8317496.97,2020-11-13,ACTIVE
40,23,51680876038597703482477,CHECKING,XOF,8780705.94,2018-08-22,BLOCKED
