customer_id,first_name,last_name,gender,birth_date,email,phone,city,country,profession,risk_level
1,Timothée,Marie,M,1947-04-12,patrick32@example.net,+33 (0)2 32 96 00 13,Bodin,Côte d'Ivoire,Ingénieur,MEDIUM
2,Thibaut,Michel,M,1983-10-08,michelledelahaye@example.net,03 66 79 40 26,Lopes,Côte d'Ivoire,Commerçant,LOW
3,Denis,Fabre,M,1997-07-13,francois16@example.org,0485940781,Chevalier-la-Forêt,Côte d'Ivoire,Avocat,LOW
4,Maryse,Verdier,F,1958-08-30,lambertmargaud@example.org,0228316475,Lemaître,Côte d'Ivoire,Ingénieur,LOW
5,Joseph,Lacroix,M,1991-03-08,martine19@example.net,+33 3 82 27 64 83,Lecoq,Côte d'Ivoire,Commerçant,LOW
6,Antoine,Rolland,M,2001-07-02,gomesandree@example.com,+33 (0)3 62 95 37 67,Aubry,Côte d'Ivoire,Avocat,LOW
7,Christine,Hoarau,F,1996-04-09,oceane96@example.net,04 94 32 87 10,Saint Lorraine-les-Bains,Côte d'Ivoire,Commerçant,LOW
8,Pauline,Godard,F,1949-11-24,mweber@example.com,0142184514,Barbierdan,Côte d'Ivoire,Ingénieur,MEDIUM
9,Adrien,Mace,M,2005-03-06,constance28@example.org,0355252880,Breton-sur-Camus,Côte d'Ivoire,Banquier,LOW
10,Alain,Marie,M,1970-04-11,olivier03@example.net,+33 (0)2 31 71 82 27,Gaillard-la-Forêt,Côte d'Ivoire,Commerçant,HIGH
11,Pauline,Lecomte,F,1982-04-11,michelelanglois@example.com,0587871331,Lefebvre,Côte d'Ivoire,Enseignant,LOW
12,Théodore,Lenoir,M,1961-03-27,aimeguerin@example.net,+33 (0)3 71 10 51 83,Laroche,Côte d'Ivoire,Comptable,MEDIUM
13,Véronique,Benoit,F,1982-04-09,moniquemasse@example.net,03 81 76 31 16,Briand,Côte d'Ivoire,Ingénieur,MEDIUM
14,Lucas,Bigot,M,2004-05-11,mailletmarcelle@example.net,+33 (0)1 82 65 13 33,Pons-les-Bains,Côte d'Ivoire,Banquier,LOW
15,Pauline,Vidal,F,1964-07-13,emenard@example.com,+33 (0)1 76 80 13 26,Leduc-sur-Mer,Côte d'Ivoire,Entrepreneur,MEDIUM
16,Noémi,Lopez,F,1956-10-12,ybernard@example.com,04 38 68 72 34,Boyer,Côte d'Ivoire,Entrepreneur,LOW
17,Stéphane,Guyon,M,1982-06-22,letellierthomas@example.org,+33 (0)6 88 82 08 12,Saint Margot-sur-Mer,Côte d'Ivoire,Ingénieur,LOW
18,Océane,Mathieu,F,2006-02-28,inesvalentin@example.org,+33 (0)5 61 99 85 43,Dupuis,Côte d'Ivoire,Enseignant,MEDIUM
19,Gilles,Delaunay,M,1954-06-25,celine51@example.org,02 40 18 38 42,Muller,Côte d'Ivoire,Banquier,LOW
20,Jacqueline,Lemaître,F,1964-12-20,brigittedevaux@example.net,0141841241,Saint Richard-la-Forêt,Côte d'Ivoire,Médecin,LOW
21,Thibaut,Lacroix,M,1994-05-30,lucas48@example.com,0177164005,Diaz,Côte d'Ivoire,Étudiant,MEDIUM
22,Gilles,Renard,M,1996-01-07,tcourtois@example.com,+33 (0)2 47 12 80 59,Caronnec,Côte d'Ivoire,Entrepreneur,LOW
